airport,exists,cs_1,cs_2,cs_3
madison county - huntsville,False,madison county airport,marion county brown field,
otay mesa,False,,,
san ysidro,False,san isidro airport,swan airport,san isidro air base
washington dc,False,washington field,warrington field,farington field
bradenton - sarasota,False,denton airport,benton airport,bordertown airport
fort myers,False,rufforth west,rufforth east,
opa locka,False,,,
st augustine arpt,False,st augustin airport,san agustin airport,gustine airport
agana,False,astigiana,atna,kanha
honolulu,False,,,
kahului - maui,False,kahului airport,,
keahole-kona,False,,,
dupage county,False,dupage airport,portage county airport,dodge county airport
mid-continent - witchita,False,mid continent airport,,
blue grass - lexington,False,bluegrass heliport,blue grass airport,
hanscom field - bedford,False,hanson field,,
andrews afb,False,andrews airport,andreas airfield,andrew airport
jackman,False,sackman field,cmn,
oakland county - pontiac,False,ashland county airport,alexander county airport,stone land county airport
willow run - ypsilanti,False,willow run airport,,
intl falls,False,,,
glacier national park,False,karijini national park,gan international airport,gabala international airport
piegan,False,,,
raleigh/durham,False,,,
newark/teterboro,False,new market airport,newcastle aerodrome,newark heath airport
cannon intl - reno/tahoe,False,,,
alexandria bay,False,alexandria airport,alexandra airport,alexandrovo air base
champlain,False,hampton,champ field,
stewart - orange cnty,False,stewart airport,,
westchester - white plains,False,westchester county airport,west chester hospital heliport,
borinquen - aguadillo,False,,,
theodore francis - warwick,False,theodore francis green state airport,,
addison airport- addison,False,addison airport,madison airport,radisson airport
hidalgo,False,,,
hull field,False,hall field,bully field,hub field
mcallen,False,mccalla field,cle,
odessa regional,False,brooks regional,delta regional airport,ada regional airport
alburg,False,libr,,
derby line,False,derby field,kerby field,derby airfield
highgate springs,False,port of highgate springs heliport,highgate airport,alaki hot springs
moses lake grant county arpt,False,moose lake carlton county airport,poso kern county airport,mc lean gray county airport
not reported/unknown,False,,,
suffolk county,False,,,
